Organism A,Organism B,Ancestor age,Rate
Equus burchelli,Homo sapiens,92000000,1393939.393939394
Equus grevyi,Homo sapiens,92000000,1277777.7777777778
Equus grevyi,Equus burchelli,3508750,389861.1111111111
Rattus norvegicus,Homo sapiens,66450000,991791.0447761194
Rattus norvegicus,Equus burchelli,92000000,2875000.0
Rattus norvegicus,Equus grevyi,92000000,2421052.6315789474
Equus asinus,Homo sapiens,92000000,1393939.393939394
Equus asinus,Equus burchelli,2178425,726141.6666666666
Equus asinus,Equus grevyi,2630175,438362.5
Equus asinus,Rattus norvegicus,92000000,2787878.787878788
Pongo pygmaeus,Homo sapiens,9906000,183444.44444444444
Pongo pygmaeus,Equus burchelli,92000000,4000000.0
Pongo pygmaeus,Equus grevyi,92000000,3285714.285714286
Pongo pygmaeus,Rattus norvegicus,66450000,2076562.5
Pongo pygmaeus,Equus asinus,92000000,4181818.1818181816
Capra hircus,Homo sapiens,87325000,1323106.0606060605
Capra hircus,Equus burchelli,87325000,5457812.5
Capra hircus,Equus grevyi,87325000,3969318.1818181816
Capra hircus,Rattus norvegicus,87325000,2646212.121212121
Capra hircus,Equus asinus,87325000,5136764.705882353
Capra hircus,Pongo pygmaeus,87325000,4158333.3333333335
Castor fiber,Homo sapiens,66450000,935915.4929577465
Castor fiber,Equus burchelli,92000000,2967741.935483871
Castor fiber,Equus grevyi,92000000,2555555.5555555555
Castor fiber,Rattus norvegicus,47800000,1291891.8918918918
Castor fiber,Equus asinus,92000000,2967741.935483871
Castor fiber,Pongo pygmaeus,66450000,2215000.0
Castor fiber,Capra hircus,87325000,3234259.2592592593
Macaca mulatta,Homo sapiens,24237500,432812.5
Macaca mulatta,Equus burchelli,92000000,5111111.111111111
Macaca mulatta,Equus grevyi,92000000,4000000.0
Macaca mulatta,Rattus norvegicus,66450000,2215000.0
Macaca mulatta,Equus asinus,92000000,5411764.705882353
Macaca mulatta,Pongo pygmaeus,24237500,3462500.0
Macaca mulatta,Capra hircus,87325000,5136764.705882353
Macaca mulatta,Castor fiber,66450000,2373214.285714286
Condylura cristata,Homo sapiens,92000000,1460317.4603174604
Condylura cristata,Equus burchelli,62500000,2840909.090909091
Condylura cristata,Equus grevyi,62500000,2083333.3333333333
Condylura cristata,Rattus norvegicus,92000000,3407407.407407407
Condylura cristata,Equus asinus,62500000,2604166.6666666665
Condylura cristata,Pongo pygmaeus,92000000,3833333.3333333335
Condylura cristata,Capra hircus,87325000,3969318.1818181816
Condylura cristata,Castor fiber,92000000,3066666.6666666665
Condylura cristata,Macaca mulatta,92000000,4181818.1818181816
Oryctolagus cuniculus,Homo sapiens,66450000,1022307.6923076923
Oryctolagus cuniculus,Equus burchelli,92000000,3680000.0
Oryctolagus cuniculus,Equus grevyi,92000000,3172413.793103448
Oryctolagus cuniculus,Rattus norvegicus,60725000,1958870.9677419355
Oryctolagus cuniculus,Equus asinus,92000000,4000000.0
Oryctolagus cuniculus,Pongo pygmaeus,66450000,3164285.714285714
Oryctolagus cuniculus,Capra hircus,87325000,3796739.1304347827
Oryctolagus cuniculus,Castor fiber,60725000,2429000.0
Oryctolagus cuniculus,Macaca mulatta,66450000,3322500.0
Oryctolagus cuniculus,Condylura cristata,92000000,3833333.3333333335
Scalopus aquaticus,Homo sapiens,92000000,3833333.3333333335
Scalopus aquaticus,Equus burchelli,62500000,1041666.6666666666
Scalopus aquaticus,Equus grevyi,62500000,946969.696969697
Scalopus aquaticus,Rattus norvegicus,92000000,1483870.9677419355
Scalopus aquaticus,Equus asinus,62500000,1041666.6666666666
Scalopus aquaticus,Pongo pygmaeus,92000000,1508196.7213114754
Scalopus aquaticus,Capra hircus,87325000,1455416.6666666667
Scalopus aquaticus,Castor fiber,92000000,1393939.393939394
Scalopus aquaticus,Macaca mulatta,92000000,1483870.9677419355
Scalopus aquaticus,Condylura cristata,2397000,39295.08196721312
Scalopus aquaticus,Oryctolagus cuniculus,92000000,1508196.7213114754
Papio anubis,Homo sapiens,24237500,417887.9310344828
Papio anubis,Equus burchelli,92000000,4380952.380952381
Papio anubis,Equus grevyi,92000000,3172413.793103448
Papio anubis,Rattus norvegicus,66450000,1954411.7647058824
Papio anubis,Equus asinus,92000000,4000000.0
Papio anubis,Pongo pygmaeus,24237500,1864423.076923077
Papio anubis,Capra hircus,87325000,3796739.1304347827
Papio anubis,Castor fiber,66450000,2143548.3870967743
Papio anubis,Macaca mulatta,8043250,1005406.25
Papio anubis,Condylura cristata,92000000,3407407.407407407
Papio anubis,Oryctolagus cuniculus,66450000,2658000.0
Papio anubis,Scalopus aquaticus,92000000,1437500.0
Branta bernicla,Homo sapiens,316350000,3678488.3720930233
Branta bernicla,Equus burchelli,316350000,5550000.0
Branta bernicla,Equus grevyi,316350000,5186065.573770491
Branta bernicla,Rattus norvegicus,316350000,5102419.354838709
Branta bernicla,Equus asinus,316350000,5454310.344827586
Branta bernicla,Pongo pygmaeus,316350000,5102419.354838709
Branta bernicla,Capra hircus,316350000,5102419.354838709
Branta bernicla,Castor fiber,316350000,5186065.573770491
Branta bernicla,Macaca mulatta,316350000,5272500.0
Branta bernicla,Condylura cristata,316350000,5186065.573770491
Branta bernicla,Oryctolagus cuniculus,316350000,5186065.573770491
Branta bernicla,Scalopus aquaticus,316350000,3857926.8292682925
Branta bernicla,Papio anubis,316350000,5361864.406779661
Cygnus atratus,Homo sapiens,316350000,3636206.896551724
Cygnus atratus,Equus burchelli,316350000,5361864.406779661
Cygnus atratus,Equus grevyi,316350000,5021428.571428572
Cygnus atratus,Rattus norvegicus,316350000,4942968.75
Cygnus atratus,Equus asinus,316350000,5272500.0
Cygnus atratus,Pongo pygmaeus,316350000,5021428.571428572
Cygnus atratus,Capra hircus,316350000,5021428.571428572
Cygnus atratus,Castor fiber,316350000,5021428.571428572
Cygnus atratus,Macaca mulatta,316350000,5186065.573770491
Cygnus atratus,Condylura cristata,316350000,5361864.406779661
Cygnus atratus,Oryctolagus cuniculus,316350000,5186065.573770491
Cygnus atratus,Scalopus aquaticus,316350000,3811445.7831325303
Cygnus atratus,Papio anubis,316350000,5272500.0
Cygnus atratus,Branta bernicla,13524500,3381125.0
Branta canadensis,Homo sapiens,316350000,3721764.705882353
Branta canadensis,Equus burchelli,316350000,5649107.142857143
Branta canadensis,Equus grevyi,316350000,5186065.573770491
Branta canadensis,Rattus norvegicus,316350000,5186065.573770491
Branta canadensis,Equus asinus,316350000,5550000.0
Branta canadensis,Pongo pygmaeus,316350000,5186065.573770491
Branta canadensis,Capra hircus,316350000,5186065.573770491
Branta canadensis,Castor fiber,316350000,5272500.0
Branta canadensis,Macaca mulatta,316350000,5361864.406779661
Branta canadensis,Condylura cristata,316350000,5272500.0
Branta canadensis,Oryctolagus cuniculus,316350000,5272500.0
Branta canadensis,Scalopus aquaticus,316350000,3905555.5555555555
Branta canadensis,Papio anubis,316350000,5454310.344827586
Branta canadensis,Branta bernicla,3908250,1954125.0
Branta canadensis,Cygnus atratus,13524500,2254083.3333333335
Sorex araneus,Homo sapiens,99275000,1601209.677419355
Sorex araneus,Equus burchelli,69775000,3033695.652173913
Sorex araneus,Equus grevyi,69775000,2406034.4827586208
Sorex araneus,Rattus norvegicus,99275000,3423275.8620689656
Sorex araneus,Equus asinus,69775000,3033695.652173913
Sorex araneus,Pongo pygmaeus,99275000,4512500.0
Sorex araneus,Capra hircus,87325000,4366250.0
Sorex araneus,Castor fiber,99275000,3545535.714285714
Sorex araneus,Macaca mulatta,99275000,5515277.777777778
Sorex araneus,Condylura cristata,69775000,3876388.888888889
Sorex araneus,Oryctolagus cuniculus,99275000,4316304.347826087
Sorex araneus,Scalopus aquaticus,69775000,1182627.1186440678
Sorex araneus,Papio anubis,99275000,4136458.3333333335
Sorex araneus,Branta bernicla,316350000,5272500.0
Sorex araneus,Cygnus atratus,316350000,5186065.573770491
Sorex araneus,Branta canadensis,316350000,5361864.406779661
Anser albifrons,Homo sapiens,316350000,3721764.705882353
Anser albifrons,Equus burchelli,316350000,5649107.142857143
Anser albifrons,Equus grevyi,316350000,5186065.573770491
Anser albifrons,Rattus norvegicus,316350000,5186065.573770491
Anser albifrons,Equus asinus,316350000,5550000.0
