,Homo sapiens,Equus burchelli,Equus grevyi,Rattus norvegicus,Equus asinus,Pongo pygmaeus,Capra hircus,Castor fiber,Macaca mulatta,Condylura cristata,Oryctolagus cuniculus,Scalopus aquaticus,Papio anubis,Branta bernicla,Cygnus atratus,Branta canadensis,Sorex araneus,Anser albifrons,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Melanitta fusca
Homo sapiens,0
Equus burchelli,92000000,0
Equus grevyi,92000000,3508750,0
Rattus norvegicus,66450000,92000000,92000000,0
Equus asinus,92000000,2178425,2630175,92000000,0
Pongo pygmaeus,9906000,92000000,92000000,66450000,92000000,0
Capra hircus,87325000,87325000,87325000,87325000,87325000,87325000,0
Castor fiber,66450000,92000000,92000000,47800000,92000000,66450000,87325000,0
Macaca mulatta,24237500,92000000,92000000,66450000,92000000,24237500,87325000,66450000,0
Condylura cristata,92000000,62500000,62500000,92000000,62500000,92000000,87325000,92000000,92000000,0
Oryctolagus cuniculus,66450000,92000000,92000000,60725000,92000000,66450000,87325000,60725000,66450000,92000000,0
Scalopus aquaticus,92000000,62500000,62500000,92000000,62500000,92000000,87325000,92000000,92000000,2397000,92000000,0
Papio anubis,24237500,92000000,92000000,66450000,92000000,24237500,87325000,66450000,8043250,92000000,66450000,92000000,0
Branta bernicla,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,0
Cygnus atratus,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,13524500,0
Branta canadensis,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,3908250,13524500,0
Sorex araneus,99275000,69775000,69775000,99275000,69775000,99275000,87325000,99275000,99275000,69775000,99275000,69775000,99275000,316350000,316350000,316350000,0
Anser albifrons,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,18315000,16944500,18315000,316350000,0
Tadorna tadornoides,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,8169500,6799000,8169500,316350000,11589500,0
Cygnus columbianus,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,13524500,2267675,13524500,316350000,16944500,6799000,0
Cygnus buccinator,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,7972500,6602000,7972500,316350000,11392500,1247000,6602000,0
Melanitta fusca,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,17197500,15827000,17197500,316350000,20617500,10472000,15827000,10275000,0
