,Homo sapiens,Equus burchelli,Equus grevyi,Rattus norvegicus,Equus asinus,Pongo pygmaeus,Capra hircus,Castor fiber,Macaca mulatta,Condylura cristata,Oryctolagus cuniculus,Scalopus aquaticus,Papio anubis,Branta bernicla,Cygnus atratus,Branta canadensis,Sorex araneus,Anser albifrons,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Melanitta fusca
Homo sapiens
Equus burchelli,1393939.393939394
Equus grevyi,1277777.7777777778,389861.1111111111
Rattus norvegicus,991791.0447761194,2875000.0,2421052.6315789474
Equus asinus,1393939.393939394,726141.6666666666,438362.5,2787878.787878788
Pongo pygmaeus,183444.44444444444,4000000.0,3285714.285714286,2076562.5,4181818.1818181816
Capra hircus,1323106.0606060605,5457812.5,3969318.1818181816,2646212.121212121,5136764.705882353,4158333.3333333335
Castor fiber,935915.4929577465,2967741.935483871,2555555.5555555555,1291891.8918918918,2967741.935483871,2215000.0,3234259.2592592593
Macaca mulatta,432812.5,5111111.111111111,4000000.0,2215000.0,5411764.705882353,3462500.0,5136764.705882353,2373214.285714286
Condylura cristata,1460317.4603174604,2840909.090909091,2083333.3333333333,3407407.407407407,2604166.6666666665,3833333.3333333335,3969318.1818181816,3066666.6666666665,4181818.1818181816
Oryctolagus cuniculus,1022307.6923076923,3680000.0,3172413.793103448,1958870.9677419355,4000000.0,3164285.714285714,3796739.1304347827,2429000.0,3322500.0,3833333.3333333335
Scalopus aquaticus,3833333.3333333335,1041666.6666666666,946969.696969697,1483870.9677419355,1041666.6666666666,1508196.7213114754,1455416.6666666667,1393939.393939394,1483870.9677419355,39295.08196721312,1508196.7213114754
Papio anubis,417887.9310344828,4380952.380952381,3172413.793103448,1954411.7647058824,4000000.0,1864423.076923077,3796739.1304347827,2143548.3870967743,1005406.25,3407407.407407407,2658000.0,1437500.0
Branta bernicla,3678488.3720930233,5550000.0,5186065.573770491,5102419.354838709,5454310.344827586,5102419.354838709,5102419.354838709,5186065.573770491,5272500.0,5186065.573770491,5186065.573770491,3857926.8292682925,5361864.406779661
Cygnus atratus,3636206.896551724,5361864.406779661,5021428.571428572,4942968.75,5272500.0,5021428.571428572,5021428.571428572,5021428.571428572,5186065.573770491,5361864.406779661,5186065.573770491,3811445.7831325303,5272500.0,3381125.0
Branta canadensis,3721764.705882353,5649107.142857143,5186065.573770491,5186065.573770491,5550000.0,5186065.573770491,5186065.573770491,5272500.0,5361864.406779661,5272500.0,5272500.0,3905555.5555555555,5454310.344827586,1954125.0,2254083.3333333335
Sorex araneus,1601209.677419355,3033695.652173913,2406034.4827586208,3423275.8620689656,3033695.652173913,4512500.0,4366250.0,3545535.714285714,5515277.777777778,3876388.888888889,4316304.347826087,1182627.1186440678,4136458.3333333335,5272500.0,5186065.573770491,5361864.406779661
Anser albifrons,3721764.705882353,5649107.142857143,5186065.573770491,5186065.573770491,5550000.0,5186065.573770491,5186065.573770491,5272500.0,5361864.406779661,5272500.0,5272500.0,3905555.5555555555,5454310.344827586,9157500.0,2824083.3333333335,5361864.406779661
Tadorna tadornoides,3554494.382022472,5454310.344827586,5102419.354838709,4942968.75,5361864.406779661,4942968.75,5021428.571428572,5102419.354838709,5186065.573770491,5272500.0,5102419.354838709,3811445.7831325303,5186065.573770491,680791.6666666666,679900.0,628423.0769230769,5186065.573770491,891500.0
Cygnus columbianus,3594886.3636363638,5361864.406779661,5021428.571428572,4942968.75,5272500.0,4942968.75,5021428.571428572,4942968.75,5186065.573770491,5272500.0,5186065.573770491,3811445.7831325303,5272500.0,2704900.0,2267675.0,1932071.4285714286,5186065.573770491,2420642.8571428573,618090.9090909091
Cygnus buccinator,3594886.3636363638,5361864.406779661,5021428.571428572,4942968.75,5272500.0,4942968.75,5021428.571428572,4942968.75,5186065.573770491,5272500.0,5186065.573770491,3811445.7831325303,5272500.0,1594500.0,6602000.0,1138928.5714285714,5186065.573770491,1627500.0,113363.63636363637
Melanitta fusca,3678488.3720930233,5454310.344827586,5186065.573770491,5021428.571428572,5454310.344827586,5186065.573770491,5272500.0,5102419.354838709,5454310.344827586,5454310.344827586,5272500.0,3857926.8292682925,5361864.406779661,1433125.0,1582700.0,1322884.6153846155,5361864.406779661,1585961.5384615385,1496000.0,1438818.1818181819,934090.9090909091
