,Homo sapiens,Equus burchelli,Capra hircus,Equus grevyi,Equus asinus,Pongo pygmaeus,Aythya affinis,Aythya marila,Anser albifrons,Anas acuta,Lophodytes cucullatus,Mergus serrator,Cygnus atratus,Aythya collaris,Aythya americana,Melanitta nigra,Rattus norvegicus,Condylura cristata,Oryctolagus cuniculus,Scalopus aquaticus,Branta canadensis,Macaca mulatta,Loxodonta africana,Histrionicus histrionicus,Somateria mollissima,Spatula clypeata,Branta bernicla,Bucephala albeola,Mergus merganser,Melanitta fusca,Bucephala clangula,Melanitta perspicillata,Aythya valisineria,Anas carolinensis,Columba livia,Mareca americana,Aix sponsa,Tadorna tadornoides,Cygnus columbianus,Dendrocygna autumnalis,Cygnus buccinator,Anas platyrhynchos,Dendrocygna arborea
Homo sapiens,0
Equus burchelli,92000000,0
Capra hircus,87325000,87325000,0
Equus grevyi,92000000,3508750,87325000,0
Equus asinus,92000000,2178425,87325000,2630175,0
Pongo pygmaeus,9906000,92000000,87325000,92000000,92000000,0
Aythya affinis,316350000,316350000,316350000,316350000,316350000,316350000,0
Aythya marila,316350000,316350000,316350000,316350000,316350000,316350000,2955250,0
Anser albifrons,316350000,316350000,316350000,316350000,316350000,316350000,20617500,20617500,0
Anas acuta,316350000,316350000,316350000,316350000,316350000,316350000,22607500,22607500,23725000,0
Lophodytes cucullatus,316350000,316350000,316350000,316350000,316350000,316350000,10399925,10399925,11517425,13507425,0
Mergus serrator,316350000,316350000,316350000,316350000,316350000,316350000,15937500,15937500,17055000,19045000,6837425,0
Cygnus atratus,316350000,316350000,316350000,316350000,316350000,316350000,15827000,15827000,16944500,18934500,6726925,12264500,0
Aythya collaris,316350000,316350000,316350000,316350000,316350000,316350000,3908250,2397000,20617500,22607500,10399925,15937500,15827000,0
Aythya americana,316350000,316350000,316350000,316350000,316350000,316350000,2955250,1444000,20617500,22607500,10399925,15937500,15827000,2397000,0
Melanitta nigra,316350000,316350000,316350000,316350000,316350000,316350000,12720750,12720750,20617500,22607500,10399925,15937500,15827000,12720750,12720750,0
Rattus norvegicus,66450000,92000000,87325000,92000000,92000000,66450000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,0
Condylura cristata,92000000,62500000,87325000,62500000,62500000,92000000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,92000000,0
Oryctolagus cuniculus,66450000,92000000,87325000,92000000,92000000,66450000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,60725000,92000000,0
Scalopus aquaticus,92000000,62500000,87325000,62500000,62500000,92000000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,92000000,2397000,92000000,0
Branta canadensis,316350000,316350000,316350000,316350000,316350000,316350000,17197500,17197500,18315000,20305000,8097425,13635000,13524500,17197500,17197500,17197500,316350000,316350000,316350000,316350000,0
Macaca mulatta,24237500,92000000,87325000,92000000,92000000,24237500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,66450000,92000000,66450000,92000000,316350000,0
Loxodonta africana,93075000,63575000,87325000,63575000,63575000,93075000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,93075000,63575000,93075000,63575000,316350000,93075000,0
Histrionicus histrionicus,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,296233250,0
Somateria mollissima,316350000,316350000,316350000,316350000,316350000,316350000,12720750,12720750,20617500,22607500,10399925,15937500,15827000,12720750,12720750,4466500,316350000,316350000,316350000,316350000,17197500,316350000,316350000,296233250,0
Spatula clypeata,316350000,316350000,316350000,316350000,316350000,316350000,22607500,22607500,23725000,4466500,13507425,19045000,18934500,22607500,22607500,22607500,316350000,316350000,316350000,316350000,20305000,316350000,316350000,296233250,22607500,0
Branta bernicla,316350000,316350000,316350000,316350000,316350000,316350000,17197500,17197500,18315000,20305000,8097425,13635000,13524500,17197500,17197500,17197500,316350000,316350000,316350000,316350000,3908250,316350000,316350000,296233250,17197500,20305000,0
Bucephala albeola,316350000,316350000,316350000,316350000,316350000,316350000,12720750,12720750,20617500,22607500,10399925,15937500,15827000,12720750,12720750,9625750,316350000,316350000,316350000,316350000,17197500,316350000,316350000,296233250,9625750,22607500,17197500,0
Mergus merganser,316350000,316350000,316350000,316350000,316350000,316350000,15937500,15937500,17055000,19045000,6837425,3908250,12264500,15937500,15937500,15937500,316350000,316350000,316350000,316350000,13635000,316350000,316350000,296233250,15937500,19045000,13635000,15937500,0
Melanitta fusca,316350000,316350000,316350000,316350000,316350000,316350000,12720750,12720750,20617500,22607500,10399925,15937500,15827000,12720750,12720750,2883175,316350000,316350000,316350000,316350000,17197500,316350000,316350000,296233250,4466500,22607500,17197500,9625750,15937500,0
Bucephala clangula,316350000,316350000,316350000,316350000,316350000,316350000,12720750,12720750,20617500,22607500,10399925,15937500,15827000,12720750,12720750,9625750,316350000,316350000,316350000,316350000,17197500,316350000,316350000,296233250,9625750,22607500,17197500,4466500,15937500,9625750,0
Melanitta perspicillata,316350000,316350000,316350000,316350000,316350000,316350000,12720750,12720750,20617500,22607500,10399925,15937500,15827000,12720750,12720750,4466500,316350000,316350000,316350000,316350000,17197500,316350000,316350000,296233250,4466500,22607500,17197500,9625750,15937500,2883175,9625750,0
Aythya valisineria,316350000,316350000,316350000,316350000,316350000,316350000,3908250,2397000,20617500,22607500,10399925,15937500,15827000,3350000,2397000,12720750,316350000,316350000,316350000,316350000,17197500,316350000,316350000,296233250,12720750,22607500,17197500,12720750,15937500,12720750,12720750,12720750,0
Anas carolinensis,316350000,316350000,316350000,316350000,316350000,316350000,22607500,22607500,23725000,2883175,13507425,19045000,18934500,22607500,22607500,22607500,316350000,316350000,316350000,316350000,20305000,316350000,316350000,296233250,22607500,2883175,20305000,22607500,19045000,22607500,22607500,22607500,22607500,0
Columba livia,316350000,316350000,316350000,316350000,316350000,316350000,105150000,105150000,105150000,105150000,105150000,105150000,105150000,105150000,105150000,105150000,316350000,316350000,316350000,316350000,105150000,316350000,316350000,296233250,105150000,105150000,105150000,105150000,105150000,105150000,105150000,105150000,105150000,105150000,0
Mareca americana,316350000,316350000,316350000,316350000,316350000,316350000,22607500,22607500,23725000,4466500,13507425,19045000,18934500,22607500,22607500,22607500,316350000,316350000,316350000,316350000,20305000,316350000,316350000,296233250,22607500,4466500,20305000,22607500,19045000,22607500,22607500,22607500,22607500,2883175,105150000,0
Aix sponsa,316350000,316350000,316350000,316350000,316350000,316350000,11425000,11425000,12542500,14532500,2324925,7862500,7752000,11425000,11425000,11425000,316350000,316350000,316350000,316350000,9122500,316350000,316350000,296233250,11425000,14532500,9122500,11425000,7862500,11425000,11425000,11425000,11425000,14532500,105150000,14532500,0
Tadorna tadornoides,316350000,316350000,316350000,316350000,316350000,316350000,10472000,10472000,11589500,13579500,1371925,6909500,6799000,10472000,10472000,10472000,316350000,316350000,316350000,316350000,8169500,316350000,316350000,296233250,10472000,13579500,8169500,10472000,6909500,10472000,10472000,10472000,10472000,13579500,105150000,13579500,2397000,0
Cygnus columbianus,316350000,316350000,316350000,316350000,316350000,316350000,15827000,15827000,16944500,18934500,6726925,12264500,2267675,15827000,15827000,15827000,316350000,316350000,316350000,316350000,13524500,316350000,316350000,296233250,15827000,18934500,13524500,15827000,12264500,15827000,15827000,15827000,15827000,18934500,105150000,18934500,7752000,6799000,0
Dendrocygna autumnalis,316350000,316350000,316350000,316350000,316350000,316350000,18850000,18850000,19967500,21957500,9749925,15287500,15177000,18850000,18850000,18850000,316350000,316350000,316350000,316350000,16547500,316350000,316350000,296233250,18850000,21957500,16547500,18850000,15287500,18850000,18850000,18850000,18850000,21957500,105150000,21957500,10775000,9822000,15177000,0
Cygnus buccinator,316350000,316350000,316350000,316350000,316350000,316350000,10275000,10275000,11392500,13382500,1174925,6712500,6602000,10275000,10275000,10275000,316350000,316350000,316350000,316350000,7972500,316350000,316350000,296233250,10275000,13382500,7972500,10275000,6712500,10275000,10275000,10275000,10275000,13382500,105150000,13382500,2200000,1247000,6602000,9625000,0
Anas platyrhynchos,316350000,316350000,316350000,316350000,316350000,316350000,22607500,22607500,23725000,4466500,13507425,19045000,18934500,22607500,22607500,22607500,316350000,316350000,316350000,316350000,20305000,316350000,316350000,296233250,22607500,4466500,20305000,22607500,19045000,22607500,22607500,22607500,22607500,2883175,105150000,4466500,14532500,13579500,18934500,21957500,13382500,0
Dendrocygna arborea,316350000,316350000,316350000,316350000,316350000,316350000,18850000,18850000,19967500,21957500,9749925,15287500,15177000,18850000,18850000,18850000,316350000,316350000,316350000,316350000,16547500,316350000,316350000,296233250,18850000,21957500,16547500,18850000,15287500,18850000,18850000,18850000,18850000,21957500,105150000,21957500,10775000,9822000,15177000,681425,9625000,21957500,0
