,Homo sapiens,Equus burchelli,Capra hircus,Equus grevyi,Equus asinus,Pongo pygmaeus,Aythya affinis,Aythya marila,Anser albifrons,Anas acuta,Lophodytes cucullatus,Mergus serrator,Cygnus atratus,Aythya collaris,Aythya americana,Melanitta nigra,Rattus norvegicus,Condylura cristata,Oryctolagus cuniculus,Scalopus aquaticus,Branta canadensis,Macaca mulatta,Loxodonta africana,Histrionicus histrionicus,Somateria mollissima,Spatula clypeata,Branta bernicla,Bucephala albeola,Mergus merganser,Melanitta fusca,Bucephala clangula,Melanitta perspicillata,Aythya valisineria,Anas carolinensis,Columba livia,Mareca americana,Aix sponsa,Tadorna tadornoides,Cygnus columbianus,Dendrocygna autumnalis,Cygnus buccinator,Anas platyrhynchos,Dendrocygna arborea
Homo sapiens
Equus burchelli,4600000.0
Capra hircus,4158333.3333333335,4596052.631578947
Equus grevyi,4380952.380952381,3508750.0,4366250.0
Equus asinus,4380952.380952381,2178425.0,4366250.0
Pongo pygmaeus,2476500.0,4380952.380952381,3969318.1818181816,4181818.1818181816,4181818.1818181816
Aythya affinis,7356976.7441860465,7356976.7441860465,7030000.0,7532142.857142857,7532142.857142857,7356976.7441860465
Aythya marila,7356976.7441860465,7356976.7441860465,7030000.0,7532142.857142857,7532142.857142857,7356976.7441860465
Anser albifrons,7532142.857142857,7715853.658536585,7532142.857142857,7908750.0,7908750.0,7532142.857142857,3436250.0,3436250.0
Anas acuta,7532142.857142857,7532142.857142857,7189772.7272727275,7715853.658536585,7715853.658536585,7532142.857142857,4521500.0,4521500.0,4745000.0
Lophodytes cucullatus,7189772.7272727275,7189772.7272727275,7030000.0,7356976.7441860465,7356976.7441860465,7532142.857142857,1733320.8333333333,1733320.8333333333,1919570.8333333333,4502475.0
Mergus serrator,7189772.7272727275,7189772.7272727275,7030000.0,7356976.7441860465,7356976.7441860465,7532142.857142857,2656250.0,2656250.0,2842500.0,6348333.333333333
Cygnus atratus,7189772.7272727275,7030000.0,7532142.857142857,7189772.7272727275,7189772.7272727275,7532142.857142857,1582700.0,1582700.0,2824083.3333333335,2366812.5,1345385.0,2452900.0
Aythya collaris,7356976.7441860465,7356976.7441860465,7030000.0,7532142.857142857,7532142.857142857,7356976.7441860465,3436250.0,4521500.0,1733320.8333333333,2656250.0,1582700.0
Aythya americana,7356976.7441860465,7356976.7441860465,7030000.0,7532142.857142857,7532142.857142857,7356976.7441860465,3436250.0,4521500.0,1733320.8333333333,2656250.0,1582700.0
Melanitta nigra,7189772.7272727275,7189772.7272727275,7030000.0,7356976.7441860465,7356976.7441860465,7532142.857142857,2120125.0,2120125.0,3436250.0,7535833.333333333,3165400.0,2120125.0,2120125.0
Rattus norvegicus,2143548.3870967743,2967741.935483871,2728906.25,2875000.0,2875000.0,2143548.3870967743,6730851.063829787,6730851.063829787,7189772.7272727275,7030000.0,6730851.063829787,6730851.063829787,6590625.0,6730851.063829787,6730851.063829787,6730851.063829787
Condylura cristata,4000000.0,2604166.6666666665,4158333.3333333335,2500000.0,2500000.0,3680000.0,7532142.857142857,7532142.857142857,8325000.0,7908750.0,7532142.857142857,7532142.857142857,7908750.0,7532142.857142857,7532142.857142857,7532142.857142857,3285714.285714286
