Organism A,Organism B,Ancestor age,Rate
Rattus norvegicus,Mus musculus,5741500,410107.14285714284
Panthera leo,Mus musculus,99275000,2612500.0
Panthera leo,Rattus norvegicus,99275000,2919852.9411764704
Triturus cristatus,Mus musculus,338650000,4837857.142857143
Triturus cristatus,Rattus norvegicus,338650000,4769718.309859155
Triturus cristatus,Panthera leo,338650000,4515333.333333333
Ateles paniscus,Mus musculus,66450000,2373214.285714286
Ateles paniscus,Rattus norvegicus,66450000,2461111.111111111
Ateles paniscus,Panthera leo,99275000,3423275.8620689656
Ateles paniscus,Triturus cristatus,338650000,4398051.948051948
Branta canadensis,Mus musculus,316350000,6327000.0
Branta canadensis,Rattus norvegicus,316350000,6327000.0
Branta canadensis,Panthera leo,316350000,6202941.176470588
Branta canadensis,Triturus cristatus,338650000,4639041.095890411
Branta canadensis,Ateles paniscus,316350000,7189772.7272727275
Camelus dromedarius,Mus musculus,87325000,2298026.3157894737
Camelus dromedarius,Rattus norvegicus,87325000,2495000.0
Camelus dromedarius,Panthera leo,87325000,2816935.4838709678
Camelus dromedarius,Triturus cristatus,338650000,4515333.333333333
Camelus dromedarius,Ateles paniscus,87325000,3969318.1818181816
Camelus dromedarius,Branta canadensis,316350000,5968867.924528302
Cebus albifrons,Mus musculus,66450000,2291379.3103448274
Cebus albifrons,Rattus norvegicus,66450000,2291379.3103448274
Cebus albifrons,Panthera leo,99275000,3676851.8518518517
Cebus albifrons,Triturus cristatus,338650000,4398051.948051948
Cebus albifrons,Ateles paniscus,32327925,3591991.6666666665
Cebus albifrons,Branta canadensis,316350000,7189772.7272727275
Cebus albifrons,Camelus dromedarius,87325000,3493000.0
Crocodylus siamensis,Mus musculus,316350000,4721641.791044776
Crocodylus siamensis,Rattus norvegicus,316350000,4652205.882352941
Crocodylus siamensis,Panthera leo,316350000,4584782.608695652
Crocodylus siamensis,Triturus cristatus,338650000,4576351.3513513515
Crocodylus siamensis,Ateles paniscus,316350000,4652205.882352941
Crocodylus siamensis,Branta canadensis,249467500,4619768.518518519
Crocodylus siamensis,Camelus dromedarius,316350000,4721641.791044776
Crocodylus siamensis,Cebus albifrons,316350000,4455633.802816901
Echinops telfairi,Mus musculus,93075000,1899489.7959183673
Echinops telfairi,Rattus norvegicus,93075000,2023369.5652173914
Echinops telfairi,Panthera leo,70850000,1647674.4186046512
Echinops telfairi,Triturus cristatus,338650000,4576351.3513513515
Echinops telfairi,Ateles paniscus,93075000,2659285.714285714
Echinops telfairi,Branta canadensis,316350000,5649107.142857143
Echinops telfairi,Camelus dromedarius,87325000,2239102.564102564
Echinops telfairi,Cebus albifrons,93075000,2585416.6666666665
Echinops telfairi,Crocodylus siamensis,316350000,4333561.643835616
Erinaceus europaeus,Mus musculus,88177000,2672030.303030303
Erinaceus europaeus,Rattus norvegicus,88177000,2593441.1764705884
Erinaceus europaeus,Panthera leo,88177000,2844419.35483871
Erinaceus europaeus,Triturus cristatus,338650000,4515333.333333333
Erinaceus europaeus,Ateles paniscus,88177000,3391423.076923077
Erinaceus europaeus,Branta canadensis,316350000,7715853.658536585
Erinaceus europaeus,Camelus dromedarius,88177000,3040586.206896552
Erinaceus europaeus,Cebus albifrons,88177000,3391423.076923077
Erinaceus europaeus,Crocodylus siamensis,316350000,4584782.608695652
Erinaceus europaeus,Echinops telfairi,88177000,2260948.717948718
