,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Aythya affinis,Aythya marila,Myodes glareolus,Peromyscus leucopus,Marmota flaviventris,Peromyscus maniculatus,Tamias minimus,Peromyscus polionotus,Peromyscus gossypinus,Peromyscus eremicus,Peromyscus boylii,Castor fiber,Marmota caligata,Peromyscus truei,Ammotragus lervia,Mammuthus primigenius,Mesoplodon densirostris,Orycteropus afer,Panthera pardus,Balaenoptera omurai,Panthera tigris,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Ochotona princeps,Branta bernicla,Aythya americana,Cygnus atratus,Melanitta nigra,Melanitta perspicillata,Bucephala albeola,Bos indicus,Neophocaena phocaenoides,Kogia sima,Bison bison,Somateria mollissima,Aythya valisineria,Mergus merganser,Bucephala clangula,Mareca americana,Anas carolinensis,Aythya collaris,Anser albifrons,Lophodytes cucullatus,Histrionicus histrionicus,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Mergus serrator,Spatula clypeata,Melanitta fusca,Anas acuta
Mus musculus
Rattus norvegicus,70882.71604938271
Panthera leo,1240937.5,2308720.930232558
Triturus cristatus,3352970.297029703,4398051.948051948,4455921.052631579
Ateles paniscus,830625.0,1748684.2105263157,3818269.230769231,4398051.948051948
Branta canadensis,4162500.0,6202941.176470588,6456122.448979592,4576351.3513513515,7356976.7441860465
Camelus dromedarius,1091562.5,1898369.5652173914,2816935.4838709678,4515333.333333333,3969318.1818181816,6083653.846153846
Cebus albifrons,830625.0,1620731.7073170731,3676851.8518518517,4398051.948051948,3591991.6666666665,7030000.0,3493000.0
Crocodylus siamensis,3476373.6263736263,4218000.0,4584782.608695652,4576351.3513513515,4652205.882352941,4706933.962264151,4721641.791044776,4455633.802816901
Echinops telfairi,1163437.5,1825000.0,1686904.761904762,4576351.3513513515,2659285.714285714,5550000.0,2239102.564102564,2585416.6666666665,4333561.643835616
Erinaceus europaeus,1102212.5,2050627.9069767443,2939233.3333333335,4515333.333333333,3391423.076923077,7532142.857142857,3040586.206896552,3391423.076923077,4584782.608695652,2260948.717948718
Hippopotamus amphibius,1091562.5,2030813.953488372,2728906.25,4455921.052631579,4366250.0,6730851.063829787,2364285.714285714,4158333.3333333335,4652205.882352941,2239102.564102564,3391423.076923077
Lagothrix lagotricha,841139.2405063291,1703846.1538461538,3676851.8518518517,4341666.666666667,975.0,7030000.0,3796739.1304347827,5387987.5,4584782.608695652,2585416.6666666665,3391423.076923077,3796739.1304347827
Lutra lutra,1323666.6666666667,2481875.0,2493478.2608695654,4639041.095890411,8272916.666666667,7189772.7272727275,3493000.0,7636538.461538462,4652205.882352941,1968055.5555555555,4198904.761904762,3969318.1818181816,9025000.0
Macaca mulatta,874342.1052631579,1703846.1538461538,3818269.230769231,4455921.052631579,5012500.0,7189772.7272727275,3796739.1304347827,3232792.5,4721641.791044776,2737500.0,3265814.814814815,3969318.1818181816,3132812.5,9025000.0
Mellivora capensis,1323666.6666666667,2481875.0,2606818.1818181816,4639041.095890411,7636538.461538462,7356976.7441860465,3358653.846153846,9025000.0,4652205.882352941,1968055.5555555555,4408850.0,4158333.3333333335,9025000.0,7913750.0,9025000.0
Microtus xanthognathus,402445.652173913,974342.1052631579,1909134.6153846155,4398051.948051948,1476666.6666666667,5361864.406779661,1679326.923076923,1444565.2173913044,4162500.0,1756132.075471698,1916891.3043478262,1898369.5652173914,1444565.2173913044,2158152.1739130435,1444565.2173913044,2158152.1739130435
Nasua nasua,1323666.6666666667,2481875.0,2730952.380952381,4576351.3513513515,8272916.666666667,7356976.7441860465,3638541.6666666665,6618333.333333333,4721641.791044776,1914864.8648648649,3674041.6666666665,3969318.1818181816,7091071.428571428,7445833.333333333,7636538.461538462,6382142.857142857,2068229.1666666667
