,Homo sapiens,Equus burchelli,Equus grevyi,Rattus norvegicus,Equus asinus,Pongo pygmaeus,Capra hircus,Castor fiber,Macaca mulatta,Condylura cristata,Oryctolagus cuniculus,Scalopus aquaticus,Papio anubis,Branta bernicla,Cygnus atratus,Branta canadensis,Sorex araneus,Anser albifrons,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Melanitta fusca
Homo sapiens,0
Equus burchelli,66,0
Equus grevyi,72,9,0
Rattus norvegicus,67,32,38,0
Equus asinus,66,3,6,33,0
Pongo pygmaeus,54,23,28,32,22,0
Capra hircus,66,16,22,33,17,21,0
Castor fiber,71,31,36,37,31,30,27,0
Macaca mulatta,56,18,23,30,17,7,17,28,0
Condylura cristata,63,22,30,27,24,24,22,30,22,0
Oryctolagus cuniculus,65,25,29,31,23,21,23,25,20,24,0
Scalopus aquaticus,24,60,66,62,60,61,60,66,62,61,61,0
Papio anubis,58,21,29,34,23,13,23,31,8,27,25,64,0
Branta bernicla,86,57,61,62,58,62,62,61,60,61,61,82,59,0
Cygnus atratus,87,59,63,64,60,63,63,63,61,59,61,83,60,4,0
Branta canadensis,85,56,61,61,57,61,61,60,59,60,60,81,58,2,6,0
Sorex araneus,62,23,29,29,23,22,20,28,18,18,23,59,24,60,61,59,0
Anser albifrons,85,56,61,61,57,61,61,60,59,60,60,81,58,2,6,0,59,0
Tadorna tadornoides,89,58,62,64,59,64,63,62,61,60,62,83,61,12,10,13,61,13,0
Cygnus columbianus,88,59,63,64,60,64,63,64,61,60,61,83,60,5,1,7,61,7,11,0
Cygnus buccinator,88,59,63,64,60,64,63,64,61,60,61,83,60,5,1,7,61,7,11,0,0
Melanitta fusca,86,58,61,63,58,61,60,62,58,58,60,82,59,12,10,13,59,13,7,11,11,0
