,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Mammuthus primigenius,Mesoplodon densirostris,Balaenoptera omurai,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Neophocaena phocaenoides,Kogia sima
Mus musculus,0
Rattus norvegicus,14,0
Panthera leo,38,34,0
Triturus cristatus,70,71,75,0
Ateles paniscus,28,27,29,77,0
Branta canadensis,50,50,51,73,44,0
Camelus dromedarius,38,35,31,75,22,53,0
Cebus albifrons,29,29,27,77,9,44,25,0
Crocodylus siamensis,67,68,69,74,68,54,67,71,0
Echinops telfairi,49,46,43,74,35,56,39,36,73,0
Erinaceus europaeus,33,34,31,75,26,41,29,26,69,39,0
Hippopotamus amphibius,35,32,30,76,20,46,21,21,68,39,26,0
Lagothrix lagotricha,30,27,28,78,6,46,23,6,69,36,26,23,0
Lutra lutra,28,28,24,73,12,43,25,13,68,36,21,22,11,0
Macaca mulatta,32,30,29,74,7,44,25,10,68,34,27,22,10,11,0
Mellivora capensis,28,28,23,73,13,42,26,11,68,36,20,21,11,2,11,0
Microtus xanthognathus,37,34,52,77,45,58,52,46,76,53,46,46,46,46,46,46,0
Nasua nasua,26,29,22,74,12,42,24,15,67,37,24,22,14,6,13,7,48,0
Tursiops truncatus,34,36,36,77,20,50,23,21,66,40,29,21,21,23,26,23,51,23,0
Anas platyrhynchos,49,49,52,74,43,4,53,45,52,57,42,46,45,44,45,43,59,43,48,0
Camelus bactrianus,38,35,31,75,22,53,0,25,67,39,29,21,23,25,25,26,52,24,23,53,0
Cavia porcellus,37,36,38,71,36,53,43,37,68,49,40,36,38,35,38,34,44,33,35,54,43,0
Crocuta crocuta,35,33,15,72,22,49,30,22,66,39,29,27,24,18,21,17,51,18,30,50,30,34,0
Elephas maximus,39,40,39,75,29,48,28,29,62,41,33,30,28,29,31,28,50,27,27,48,28,39,34,0
Lama guanicoe,39,36,31,75,23,54,2,26,67,41,30,22,24,26,27,27,53,25,24,54,2,44,30,27,0
Martes foina,28,28,24,73,12,43,25,12,68,36,21,22,10,1,11,1,46,6,22,44,25,35,18,29,26,0
Mustela putorius,30,30,24,74,14,45,26,13,69,35,23,23,10,3,13,3,48,8,23,46,26,35,20,30,27,2,0
Paguma larvata,37,31,12,70,23,48,29,21,65,39,29,24,23,18,21,17,49,19,30,49,29,37,9,33,29,18,19,0
Sminthopsis crassicaudata,44,47,41,74,43,43,42,41,65,51,38,44,42,40,44,38,54,41,43,41,42,47,42,42,43,39,41,43,0
Struthio camelus,52,51,49,75,46,7,53,46,54,58,45,46,48,45,46,44,60,44,51,5,53,54,49,50,53,45,47,48,43,0
Tragelaphus strepsiceros,41,39,33,73,24,53,24,23,66,41,30,19,23,23,25,21,54,26,21,52,24,42,27,32,24,22,23,25,47,53,0
Tapirus terrestris,38,36,38,76,25,49,28,25,67,39,31,26,23,26,28,26,49,28,26,49,28,45,31,38,28,25,27,33,43,49,26,0
Callimico goeldii,29,28,29,78,4,45,22,7,69,35,27,20,7,13,8,14,46,13,21,44,22,36,22,28,23,13,14,23,43,47,24,27,0
Colobus guereza,113,112,110,121,107,115,110,106,118,107,111,109,106,105,105,105,114,105,111,116,110,111,107,109,110,105,105,107,112,114,111,109,107,0
Lama glama,39,36,31,75,23,54,2,26,67,41,30,22,24,26,27,27,53,25,24,54,2,44,30,27,0,26,27,29,43,53,24,28,23,110,0
Macropus giganteus,44,43,49,76,39,45,41,37,65,52,34,40,38,34,36,34,52,39,41,47,41,44,44,40,42,35,36,44,30,48,43,43,39,112,42,0
Phalacrocorax carbo,47,51,50,71,45,9,53,45,51,56,40,44,47,42,45,41,58,41,46,9,53,49,48,47,54,42,44,47,42,12,50,48,46,115,54,46,0
Papio cynocephalus,30,28,29,75,9,44,26,8,69,34,26,23,8,10,4,9,45,14,26,45,26,38,21,32,28,9,11,21,42,46,25,24,10,105,28,35,45,0
Rhinolophus ferrumequinum,29,31,25,76,18,45,27,19,68,38,24,23,18,13,21,14,48,15,23,44,27,38,25,28,28,13,15,22,36,47,27,29,19,109,28,41,42,18,0
Squalus acanthias,84,81,83,94,83,84,86,81,92,80,85,82,79,80,81,80,87,82,82,84,86,85,80,88,88,79,79,80,84,84,82,80,82,115,88,87,84,79,84,0
Vultur gryphus,50,54,51,74,46,7,53,46,51,59,43,48,48,43,46,42,60,42,50,9,53,52,51,49,54,43,45,50,44,10,54,52,47,115,54,48,7,46,45,85,0
Panthera onca,37,34,3,76,28,52,30,28,69,43,32,31,27,25,30,24,54,23,35,51,30,39,15,38,30,25,25,13,40,50,33,39,28,111,30,50,51,30,24,84,52,0
Aquila chrysaetos,50,50,52,74,46,6,55,46,52,58,43,48,48,43,46,42,60,42,50,6,55,52,51,49,56,43,45,50,45,9,54,51,47,116,56,47,8,46,45,86,5,53,0
Ateles geoffroyi,31,28,29,78,4,46,21,8,68,37,27,21,2,13,10,13,46,14,19,45,21,37,25,28,22,12,12,24,44,48,21,23,7,107,22,39,47,10,20,80,48,28,48,0
