,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Aythya affinis,Aythya marila,Myodes glareolus,Peromyscus leucopus,Marmota flaviventris,Peromyscus maniculatus,Tamias minimus,Peromyscus polionotus,Peromyscus gossypinus,Peromyscus eremicus,Peromyscus boylii,Castor fiber,Marmota caligata,Peromyscus truei,Ammotragus lervia,Mammuthus primigenius,Mesoplodon densirostris,Orycteropus afer,Panthera pardus,Balaenoptera omurai,Panthera tigris,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Ochotona princeps,Branta bernicla,Aythya americana,Cygnus atratus,Melanitta nigra,Melanitta perspicillata,Bucephala albeola,Bos indicus,Neophocaena phocaenoides,Kogia sima,Bison bison,Somateria mollissima,Aythya valisineria,Mergus merganser,Bucephala clangula,Mareca americana,Anas carolinensis,Aythya collaris,Anser albifrons,Lophodytes cucullatus,Histrionicus histrionicus,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Mergus serrator,Spatula clypeata,Melanitta fusca,Anas acuta
Mus musculus,0
Rattus norvegicus,81,0
Panthera leo,80,43,0
Triturus cristatus,101,77,76,0
Ateles paniscus,80,38,26,77,0
Branta canadensis,76,51,49,74,43,0
Camelus dromedarius,80,46,31,75,22,52,0
Cebus albifrons,80,41,27,77,9,45,25,0
Crocodylus siamensis,91,75,69,74,68,53,67,71,0
Echinops telfairi,80,51,42,74,35,57,39,36,73,0
Erinaceus europaeus,80,43,30,75,26,42,29,26,69,39,0
Hippopotamus amphibius,80,43,32,76,20,47,21,21,68,39,26,0
Lagothrix lagotricha,79,39,27,78,6,45,23,6,69,36,26,23,0
Lutra lutra,75,40,23,73,12,44,25,13,68,36,21,22,11,0
Macaca mulatta,76,39,26,76,5,44,23,10,67,34,27,22,8,11,0
Mellivora capensis,75,40,22,73,13,43,26,11,68,36,20,21,11,2,11,0
Microtus xanthognathus,92,38,52,77,45,59,52,46,76,53,46,46,46,46,46,46,0
Nasua nasua,75,40,21,74,12,43,24,15,67,37,24,22,14,6,13,7,48,0
Tursiops truncatus,46,84,77,99,74,86,70,71,90,76,75,69,72,71,74,71,87,71,0
Anas platyrhynchos,76,52,49,74,43,3,53,45,52,57,42,46,45,44,44,43,59,43,85,0
Camelus bactrianus,80,46,31,75,22,52,0,25,67,39,29,21,23,25,23,26,52,24,70,53,0
Cavia porcellus,83,39,40,71,36,54,43,37,68,49,40,36,38,35,38,34,44,33,79,54,43,0
Crocuta crocuta,78,44,12,72,22,50,30,22,66,39,29,27,24,18,21,17,51,18,73,50,30,34,0
Elephas maximus,76,45,38,75,29,47,28,29,62,41,33,30,28,29,29,28,50,27,71,48,28,39,34,0
Lama guanicoe,79,47,31,75,23,53,2,26,67,41,30,22,24,26,25,27,53,25,70,54,2,44,30,27,0
Martes foina,75,40,23,73,12,44,25,12,68,36,21,22,10,1,11,1,46,6,71,44,25,35,18,29,26,0
Mustela putorius,75,41,25,74,14,46,26,13,69,35,23,23,10,3,13,3,48,8,71,46,26,35,20,30,27,2,0
Paguma larvata,78,42,12,70,23,49,29,21,65,39,29,24,23,18,21,17,49,19,72,49,29,37,9,33,29,18,19,0
Sminthopsis crassicaudata,72,52,39,74,43,42,42,41,65,51,38,44,42,40,43,38,54,41,81,41,42,47,42,42,43,39,41,43,0
Struthio camelus,75,54,48,75,46,8,53,46,54,58,45,46,48,45,47,44,60,44,82,5,53,54,49,50,53,45,47,48,43,0
Tragelaphus strepsiceros,77,51,34,73,24,53,24,23,66,41,30,19,23,23,24,21,54,26,66,52,24,42,27,32,24,22,23,25,47,53,0
Tapirus terrestris,79,50,37,76,25,50,28,25,67,39,31,26,23,26,28,26,49,28,71,49,28,45,31,38,28,25,27,33,43,49,26,0
Callimico goeldii,79,39,27,78,4,44,22,7,69,35,27,20,7,13,6,14,46,13,73,44,22,36,22,28,23,13,14,23,43,47,24,27,0
