,Homo sapiens,Equus burchelli,Capra hircus,Equus grevyi,Equus asinus,Pongo pygmaeus,Aythya affinis,Aythya marila,Anser albifrons,Anas acuta,Lophodytes cucullatus,Mergus serrator,Cygnus atratus,Aythya collaris,Aythya americana,Melanitta nigra,Rattus norvegicus,Condylura cristata,Oryctolagus cuniculus,Scalopus aquaticus,Branta canadensis,Macaca mulatta,Loxodonta africana,Histrionicus histrionicus,Somateria mollissima,Spatula clypeata,Branta bernicla,Bucephala albeola,Mergus merganser,Melanitta fusca,Bucephala clangula,Melanitta perspicillata,Aythya valisineria,Anas carolinensis,Columba livia,Mareca americana,Aix sponsa,Tadorna tadornoides,Cygnus columbianus,Dendrocygna autumnalis,Cygnus buccinator,Anas platyrhynchos,Dendrocygna arborea
Homo sapiens,0
Equus burchelli,20,0
Capra hircus,21,19,0
Equus grevyi,21,1,20,0
Equus asinus,21,1,20,0,0
Pongo pygmaeus,4,21,22,22,22,0
Aythya affinis,43,43,45,42,42,43,0
Aythya marila,43,43,45,42,42,43,0,0
Anser albifrons,42,41,42,40,40,42,6,6,0
Anas acuta,42,42,44,41,41,42,5,5,5,0
Lophodytes cucullatus,44,44,45,43,43,42,6,6,6,3,0
Mergus serrator,44,44,45,43,43,42,6,6,6,3,0,0
Cygnus atratus,44,45,42,44,44,42,10,10,6,8,5,5,0
Aythya collaris,43,43,45,42,42,43,0,0,6,5,6,6,10,0
Aythya americana,43,43,45,42,42,43,0,0,6,5,6,6,10,0,0
Melanitta nigra,44,44,45,43,43,42,6,6,6,3,0,0,5,6,6,0
Rattus norvegicus,31,31,32,32,32,31,47,47,44,45,47,47,48,47,47,47,0
Condylura cristata,23,24,21,25,25,25,42,42,38,40,42,42,40,42,42,42,28,0
Oryctolagus cuniculus,27,28,26,28,28,26,47,47,44,47,48,48,45,47,47,48,34,26,0
Scalopus aquaticus,95,96,95,96,96,97,103,103,102,102,103,103,103,103,103,103,99,95,97,0
Branta canadensis,42,41,42,40,40,42,7,7,2,6,5,5,5,7,7,5,44,38,44,102,0
Macaca mulatta,6,17,18,18,18,8,42,42,41,41,43,43,44,42,42,43,30,22,26,94,41,0
Loxodonta africana,27,26,29,25,25,26,46,46,44,46,45,45,45,46,46,45,42,32,31,99,44,26,0
Histrionicus histrionicus,44,44,45,43,43,42,6,6,6,3,0,0,5,6,6,0,47,42,48,103,5,43,45,0
Somateria mollissima,44,44,45,43,43,42,6,6,6,3,0,0,5,6,6,0,47,42,48,103,5,43,45,0,0
Spatula clypeata,41,41,43,40,40,41,6,6,6,1,4,4,9,6,6,4,44,39,46,101,7,40,45,4,4,0
Branta bernicla,42,41,42,40,40,42,7,7,2,6,5,5,5,7,7,5,44,38,44,102,0,41,44,5,5,7,0
Bucephala albeola,44,44,45,43,43,42,6,6,6,3,0,0,5,6,6,0,47,42,48,103,5,43,45,0,0,4,5,0
Mergus merganser,44,44,45,43,43,42,6,6,6,3,0,0,5,6,6,0,47,42,48,103,5,43,45,0,0,4,5,0,0
Melanitta fusca,44,44,45,43,43,42,6,6,6,3,0,0,5,6,6,0,47,42,48,103,5,43,45,0,0,4,5,0,0,0
Bucephala clangula,44,44,45,43,43,42,6,6,6,3,0,0,5,6,6,0,47,42,48,103,5,43,45,0,0,4,5,0,0,0,0
Melanitta perspicillata,44,44,45,43,43,42,6,6,6,3,0,0,5,6,6,0,47,42,48,103,5,43,45,0,0,4,5,0,0,0,0,0
Aythya valisineria,43,43,45,42,42,43,0,0,6,5,6,6,10,0,0,6,47,42,47,103,7,42,46,6,6,6,7,6,6,6,6,6,0
Anas carolinensis,42,42,44,41,41,42,5,5,5,0,3,3,8,5,5,3,45,40,47,102,6,41,46,3,3,1,6,3,3,3,3,3,5,0
Columba livia,55,55,55,55,55,54,35,35,35,35,35,35,35,35,35,35,61,50,58,102,35,54,59,35,35,34,35,35,35,35,35,35,35,35,0
Mareca americana,42,42,44,41,41,42,5,5,5,0,3,3,8,5,5,3,45,40,47,102,6,41,46,3,3,1,6,3,3,3,3,3,5,0,35,0
Aix sponsa,43,43,45,42,42,43,4,4,5,3,4,4,9,4,4,4,46,41,47,102,6,42,46,4,4,4,6,4,4,4,4,4,4,3,37,3,0
Tadorna tadornoides,42,42,44,41,41,42,4,4,4,3,2,2,6,4,4,2,45,40,46,102,3,41,45,2,2,4,3,2,2,2,2,2,4,3,35,3,4,0
Cygnus columbianus,41,40,41,39,39,41,8,8,6,7,6,6,7,8,8,6,44,40,45,101,5,40,43,6,6,6,5,6,6,6,6,6,8,7,34,7,8,6,0
Dendrocygna autumnalis,45,44,42,43,43,43,9,9,8,10,7,7,9,9,9,7,48,40,47,103,6,42,45,7,7,11,6,7,7,7,7,7,9,10,35,10,10,7,9,0
Cygnus buccinator,41,40,41,39,39,41,8,8,6,7,6,6,7,8,8,6,44,40,45,101,5,40,43,6,6,6,5,6,6,6,6,6,8,7,34,7,8,6,0,9,0
Anas platyrhynchos,42,42,44,41,41,42,5,5,5,0,3,3,8,5,5,3,45,40,47,102,6,41,46,3,3,1,6,3,3,3,3,3,5,0,35,0,3,3,7,10,7,0
Dendrocygna arborea,45,44,42,43,43,43,9,9,8,10,7,7,9,9,9,7,48,40,47,103,6,42,45,7,7,11,6,7,7,7,7,7,9,10,35,10,10,7,9,0,9,10,0
